ID,,Timestamp,,Packet,AS7265X,,,,,,,,,,,,,,,,,,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W
name,instance,date,time,Number,a,b,c,d,e,f,g,h,i,j,k,l,r,s,t,u,v,w,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W
Device,1,1/18/2021,23:12:46,17,111,105,150,125,126,118,97,122,95,124,164,95,212,254,328,354,463,492,1,0.37,0.44,0.39,0.36,0.11,0.63
Device,1,1/18/2021,23:12:48,18,111,104,149,125,126,118,97,122,95,124,164,95,212,254,327,354,462,492,1,0.37,0.43,0.39,0.36,0.11,0.63
Device,1,1/18/2021,23:12:50,19,110,104,149,125,125,118,96,121,95,124,163,94,211,253,326,352,460,489,1,0.37,0.43,0.39,0.36,0.11,0.63
Device,1,1/18/2021,23:12:52,20,111,105,150,125,126,119,97,122,95,125,164,95,212,254,327,356,464,496,1,0.37,0.44,0.39,0.36,0.11,0.63
Device,1,1/18/2021,23:12:53,21,111,105,150,126,127,120,98,123,96,125,165,95,212,257,328,356,466,497,1,0.37,0.43,0.39,0.36,0.11,0.63
Device,1,1/18/2021,23:12:55,22,111,105,150,126,127,119,97,123,96,125,164,95,213,256,329,356,465,495,1,0.37,0.43,0.39,0.36,0.11,0.63
Device,1,1/18/2021,23:12:57,23,111,105,150,126,127,119,97,123,96,125,164,95,213,257,329,356,465,495,1,0.37,0.43,0.39,0.36,0.11,0.63
Device,1,1/18/2021,23:12:59,24,111,105,151,126,127,120,98,123,96,126,165,96,213,257,330,357,465,496,1,0.37,0.43,0.39,0.36,0.11,0.63
Device,1,1/18/2021,23:13:01,25,103,96,140,114,115,105,84,111,87,108,154,98,189,223,328,365,444,453,1,0.38,0.52,0.39,0.37,0.13,0.64
Device,1,1/18/2021,23:13:03,26,97,90,134,104,109,108,81,105,73,113,169,92,161,224,318,375,493,482,1,0.43,0.58,0.39,0.42,0.15,0.69
Device,1,1/18/2021,23:13:05,27,96,89,134,104,109,108,81,105,72,113,168,92,161,225,315,372,494,484,1,0.43,0.57,0.39,0.42,0.15,0.69
Device,1,1/18/2021,23:13:07,28,98,92,137,105,111,110,81,106,73,115,171,94,163,232,321,378,500,490,1,0.43,0.56,0.39,0.42,0.15,0.69
Device,1,1/18/2021,23:13:09,29,98,92,138,105,111,110,82,106,74,115,171,93,163,233,320,377,504,494,1,0.43,0.56,0.39,0.42,0.15,0.69
Device,1,1/18/2021,23:13:11,30,104,95,142,110,111,110,81,109,77,110,178,101,176,231,354,409,492,454,1,0.41,0.56,0.39,0.4,0.14,0.68
Device,1,1/18/2021,23:13:12,31,117,110,157,137,139,129,105,134,105,135,175,98,235,277,348,378,506,528,1,0.38,0.43,0.39,0.37,0.11,0.64
Device,1,1/18/2021,23:13:14,32,117,110,156,137,138,129,105,134,105,135,175,98,235,276,348,378,505,527,1,0.38,0.43,0.39,0.37,0.11,0.64
Device,1,1/18/2021,23:13:16,33,117,110,156,137,139,129,105,134,105,135,175,98,235,276,348,378,505,528,1,0.38,0.43,0.39,0.37,0.11,0.64
Device,1,1/18/2021,23:13:18,34,117,110,157,138,139,129,105,134,105,135,175,98,235,276,348,378,505,529,1,0.38,0.43,0.39,0.36,0.11,0.64
Device,1,1/18/2021,23:13:20,35,117,110,156,137,138,129,105,134,104,135,174,97,234,276,346,377,504,528,1,0.38,0.43,0.39,0.37,0.11,0.64
Device,1,1/18/2021,23:13:22,36,117,110,156,138,138,129,105,134,104,135,175,97,235,276,347,377,504,529,1,0.38,0.43,0.39,0.36,0.11,0.64
Device,1,1/18/2021,23:13:24,37,117,110,156,138,138,129,105,134,105,135,175,98,235,276,347,378,504,528,1,0.38,0.43,0.39,0.36,0.11,0.64
Device,1,1/18/2021,23:13:26,38,105,98,140,119,120,108,89,115,92,113,160,98,198,235,321,355,464,471,1,0.38,0.5,0.39,0.38,0.13,0.65
Device,1,1/18/2021,23:13:28,39,101,94,143,109,113,114,83,109,76,116,181,100,171,232,343,408,506,493,1,0.43,0.57,0.39,0.42,0.15,0.69
Device,1,1/18/2021,23:13:30,40,101,94,143,109,113,114,83,109,77,116,182,101,171,232,344,409,505,493,1,0.43,0.57,0.39,0.42,0.15,0.69
Device,1,1/18/2021,23:13:32,41,101,94,142,109,113,113,83,109,76,116,181,100,170,232,340,406,505,495,1,0.43,0.57,0.39,0.42,0.15,0.69
Device,1,1/18/2021,23:13:33,42,101,94,143,109,113,114,83,109,76,116,181,100,170,233,341,406,506,494,1,0.43,0.57,0.39,0.42,0.15,0.69
Device,1,1/18/2021,23:13:35,43,100,94,142,109,112,113,83,108,76,116,181,99,170,231,338,403,505,495,1,0.43,0.58,0.39,0.42,0.15,0.69
Device,1,1/18/2021,23:13:37,44,106,100,149,116,115,110,87,114,82,113,181,103,194,231,341,388,475,463,1,0.38,0.55,0.39,0.38,0.13,0.65
Device,1,1/18/2021,23:13:39,45,120,114,161,142,142,132,106,138,108,138,180,100,243,284,357,390,518,535,1,0.37,0.43,0.39,0.36,0.11,0.64
Device,1,1/18/2021,23:13:41,46,120,114,161,142,142,132,106,138,108,138,180,101,243,284,358,390,518,534,1,0.37,0.43,0.39,0.36,0.11,0.64
Device,1,1/18/2021,23:13:43,47,120,114,161,142,142,132,106,138,108,138,181,101,242,284,357,390,518,535,1,0.37,0.43,0.39,0.36,0.11,0.64
Device,1,1/18/2021,23:13:45,48,120,114,161,142,142,132,106,138,108,138,181,101,243,284,358,390,518,535,1,0.37,0.43,0.39,0.36,0.11,0.64
Device,1,1/18/2021,23:13:47,49,119,112,160,140,141,131,106,136,107,138,179,100,240,283,353,386,514,535,1,0.38,0.42,0.39,0.36,0.11,0.64
Device,1,1/18/2021,23:13:49,50,119,112,160,141,141,131,106,136,107,138,180,100,240,283,352,386,514,536,1,0.37,0.42,0.39,0.36,0.11,0.64
Device,1,1/18/2021,23:13:51,51,119,112,160,140,141,131,106,136,106,138,180,100,238,283,350,384,515,536,1,0.38,0.42,0.39,0.36,0.11,0.64
Device,1,1/18/2021,23:13:53,52,100,94,144,110,114,115,85,110,77,117,183,100,172,226,334,406,503,509,1,0.43,0.6,0.39,0.42,0.15,0.69
Device,1,1/18/2021,23:13:54,53,97,92,140,108,111,113,84,108,74,116,180,96,166,226,316,393,507,519,1,0.43,0.6,0.39,0.43,0.15,0.69
Device,1,1/18/2021,23:13:56,54,97,92,139,107,111,113,84,108,74,116,179,95,166,226,315,392,507,520,1,0.44,0.6,0.39,0.43,0.15,0.69
Device,1,1/18/2021,23:13:58,55,114,105,144,125,123,119,95,124,92,127,163,97,213,240,338,366,471,508,1,0.38,0.51,0.39,0.38,0.12,0.64
Device,1,1/18/2021,23:14:00,56,118,112,159,140,142,132,108,136,107,139,177,100,239,286,351,380,511,537,1,0.38,0.41,0.39,0.36,0.11,0.64
