ID,,Timestamp,,Packet,AS7265X,,,,,,,,,,,,,,,,,,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
name,instance,date,time,Number,a,b,c,d,e,f,g,h,i,j,k,l,r,s,t,u,v,w,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
Device,1,2021/1/18,23:12:46,17,92,85,125,98,99,94,74,95,73,97,141,79,158,197,268,301,387,414,1,0.38,0.51,0.40,0.37,0.12,0.64,
Device,1,2021/1/18,23:12:47,18,92,85,125,98,99,94,74,95,73,97,141,79,158,197,268,301,387,414,1,0.38,0.51,0.40,0.37,0.12,0.64,
Device,1,2021/1/18,23:12:49,19,92,85,125,98,99,94,74,95,73,97,141,79,158,197,268,301,386,414,1,0.38,0.51,0.40,0.37,0.12,0.64,
Device,1,2021/1/18,23:12:51,20,92,85,125,97,99,94,74,94,73,97,141,79,157,196,268,301,385,412,1,0.38,0.51,0.40,0.37,0.12,0.64,
Device,1,2021/1/18,23:12:53,21,88,81,122,92,92,87,65,90,67,87,146,81,147,177,274,325,376,384,1,0.39,0.60,0.40,0.38,0.14,0.65,
Device,1,2021/1/18,23:12:55,22,84,78,116,91,93,89,67,90,63,92,146,78,139,176,261,315,415,425,1,0.42,0.67,0.40,0.41,0.16,0.68,
Device,1,2021/1/18,23:12:57,23,84,78,116,90,93,89,67,90,63,92,146,78,139,175,262,317,415,422,1,0.42,0.68,0.40,0.42,0.16,0.68,
Device,1,2021/1/18,23:12:59,24,85,79,117,91,93,90,67,90,64,92,148,79,139,176,264,320,417,425,1,0.42,0.68,0.40,0.41,0.16,0.68,
Device,1,2021/1/18,23:13:1,25,85,80,118,91,95,91,68,91,64,93,149,80,140,180,266,322,420,428,1,0.42,0.67,0.40,0.41,0.16,0.68,
Device,1,2021/1/18,23:13:3,26,85,79,116,90,93,89,66,89,63,91,147,79,138,175,263,318,414,421,1,0.42,0.68,0.40,0.41,0.16,0.68,
Device,1,2021/1/18,23:13:5,27,92,86,125,100,101,96,78,99,73,101,140,78,163,198,265,300,394,431,1,0.38,0.52,0.40,0.38,0.13,0.64,
Device,1,2021/1/18,23:13:7,28,92,86,125,101,103,97,78,99,74,101,141,78,163,200,266,301,400,432,1,0.39,0.52,0.40,0.38,0.13,0.65,
Device,1,2021/1/18,23:13:8,29,92,86,125,101,103,97,78,99,74,101,141,78,163,200,266,300,400,433,1,0.39,0.52,0.40,0.38,0.13,0.65,
Device,1,2021/1/18,23:13:10,30,92,86,125,101,102,96,78,99,74,101,141,78,163,200,266,301,400,432,1,0.39,0.52,0.40,0.38,0.13,0.65,
Device,1,2021/1/18,23:13:12,31,84,78,116,90,93,87,66,89,63,90,148,78,137,174,260,314,409,417,1,0.42,0.68,0.40,0.41,0.16,0.68,
Device,1,2021/1/18,23:13:14,32,85,79,116,91,93,89,67,90,63,91,149,79,139,174,264,321,419,423,1,0.42,0.70,0.40,0.42,0.17,0.68,
Device,1,2021/1/18,23:13:16,33,85,79,116,91,93,89,67,90,63,91,149,79,140,174,264,322,419,423,1,0.42,0.70,0.40,0.42,0.17,0.68,
Device,1,2021/1/18,23:13:18,34,85,79,116,91,93,89,66,91,63,91,149,80,140,174,264,323,420,421,1,0.42,0.70,0.40,0.42,0.17,0.68,
Device,1,2021/1/18,23:13:20,35,93,87,125,101,102,98,78,99,74,101,142,79,163,200,268,304,401,437,1,0.39,0.53,0.40,0.38,0.13,0.64,
Device,1,2021/1/18,23:13:22,36,93,87,125,101,103,97,78,99,74,101,143,79,163,200,268,304,404,437,1,0.39,0.54,0.40,0.38,0.13,0.65,
