ID,,Timestamp,,Packet,AS7265X,,,,,,,,,,,,,,,,,,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
name,instance,date,time,Number,a,b,c,d,e,f,g,h,i,j,k,l,r,s,t,u,v,w,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
Device,1,2021/1/18,23:12:46,17,93,87,126,102,104,98,78,99,74,101,146,78,164,202,272,310,415,448,1,0.40,0.55,0.41,0.39,0.13,0.65,
Device,1,2021/1/18,23:12:48,18,93,87,126,102,104,99,78,99,74,101,146,78,164,202,271,310,414,448,1,0.40,0.54,0.41,0.39,0.13,0.65,
Device,1,2021/1/18,23:12:50,19,93,87,126,101,103,98,77,99,74,101,146,78,163,201,271,310,414,447,1,0.40,0.55,0.41,0.39,0.13,0.65,
Device,1,2021/1/18,23:12:51,20,92,86,125,99,102,96,75,96,73,98,144,78,158,196,268,306,406,439,1,0.39,0.56,0.41,0.39,0.14,0.65,
Device,1,2021/1/18,23:12:53,21,85,80,119,91,91,87,65,87,64,87,145,79,139,174,260,317,396,415,1,0.41,0.66,0.41,0.40,0.15,0.66,
Device,1,2021/1/18,23:12:55,22,84,79,118,90,91,87,65,87,63,87,146,78,138,174,259,316,396,416,1,0.41,0.65,0.41,0.40,0.15,0.67,
Device,1,2021/1/18,23:12:57,23,85,80,118,91,91,87,65,87,64,87,146,79,138,174,261,318,398,416,1,0.41,0.66,0.41,0.40,0.15,0.67,
Device,1,2021/1/18,23:12:59,24,85,80,120,91,91,87,65,87,64,86,146,80,139,173,262,319,398,415,1,0.41,0.67,0.41,0.40,0.16,0.67,
Device,1,2021/1/18,23:13:1,25,85,80,120,91,91,87,65,87,64,86,146,80,139,173,261,319,398,416,1,0.41,0.67,0.41,0.40,0.16,0.67,
Device,1,2021/1/18,23:13:3,26,85,80,120,91,91,86,64,87,64,86,146,79,139,172,261,318,397,414,1,0.40,0.68,0.41,0.40,0.16,0.66,
Device,1,2021/1/18,23:13:5,27,88,81,120,95,93,86,68,91,66,86,143,78,148,169,256,306,388,403,1,0.39,0.69,0.41,0.38,0.15,0.65,
Device,1,2021/1/18,23:13:7,28,93,87,126,102,104,98,77,99,74,101,146,78,163,200,270,310,416,449,1,0.40,0.56,0.41,0.39,0.14,0.65,
Device,1,2021/1/18,23:13:9,29,93,86,125,101,103,98,77,99,73,101,146,78,163,200,270,310,415,449,1,0.40,0.55,0.41,0.39,0.14,0.66,
Device,1,2021/1/18,23:13:11,30,93,86,126,101,104,98,77,99,73,101,146,78,163,200,269,310,415,449,1,0.40,0.55,0.41,0.39,0.14,0.66,
Device,1,2021/1/18,23:13:12,31,93,87,125,101,103,98,77,99,73,101,146,78,163,200,270,310,415,451,1,0.40,0.56,0.41,0.39,0.14,0.65,
Device,1,2021/1/18,23:13:14,32,87,81,119,92,93,86,65,88,67,85,141,80,142,170,264,315,384,400,1,0.39,0.67,0.41,0.39,0.15,0.65,
Device,1,2021/1/18,23:13:16,33,86,81,120,91,91,87,65,87,64,87,146,80,139,173,263,320,399,416,1,0.40,0.68,0.41,0.40,0.16,0.66,
Device,1,2021/1/18,23:13:18,34,88,81,121,92,92,89,65,87,64,87,147,81,139,177,271,323,400,407,1,0.40,0.65,0.41,0.40,0.15,0.66,
Device,1,2021/1/18,23:13:20,35,87,81,120,92,92,89,65,87,64,87,147,81,139,176,269,323,401,414,1,0.41,0.66,0.41,0.40,0.15,0.66,
Device,1,2021/1/18,23:13:22,36,85,80,119,91,91,88,65,87,63,87,148,79,138,174,259,318,400,420,1,0.41,0.67,0.41,0.40,0.16,0.67,
Device,1,2021/1/18,23:13:24,37,86,81,120,91,91,86,65,88,64,85,146,80,141,172,263,317,399,407,1,0.40,0.69,0.41,0.40,0.16,0.66,
Device,1,2021/1/18,23:13:26,38,94,87,126,102,104,99,78,99,74,101,148,78,164,202,271,312,420,452,1,0.40,0.56,0.41,0.39,0.14,0.66,
Device,1,2021/1/18,23:13:28,39,94,87,126,102,105,99,77,100,74,101,148,78,164,201,271,312,419,452,1,0.40,0.56,0.41,0.39,0.14,0.66,
Device,1,2021/1/18,23:13:30,40,93,87,126,102,104,99,78,99,74,101,148,78,164,202,271,312,419,453,1,0.40,0.55,0.41,0.39,0.14,0.66,
Device,1,2021/1/18,23:13:32,41,90,81,117,98,98,87,70,93,71,89,139,75,154,179,255,294,401,417,1,0.40,0.64,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:33,42,83,79,118,90,91,87,65,87,62,87,148,78,137,172,251,316,399,421,1,0.41,0.68,0.41,0.41,0.16,0.67,
Device,1,2021/1/18,23:13:35,43,83,79,118,90,91,87,65,87,62,87,148,78,137,172,251,316,399,421,1,0.41,0.68,0.41,0.41,0.16,0.67,
Device,1,2021/1/18,23:13:37,44,83,79,118,90,91,87,65,87,62,87,148,78,137,172,251,316,399,421,1,0.41,0.68,0.41,0.41,0.16,0.67,
Device,1,2021/1/18,23:13:39,45,83,79,118,90,91,87,64,87,62,87,147,78,137,172,251,316,398,420,1,0.41,0.67,0.41,0.41,0.16,0.67,
Device,1,2021/1/18,23:13:41,46,92,86,125,100,102,98,77,98,73,101,144,78,161,199,266,306,411,447,1,0.40,0.55,0.41,0.39,0.14,0.65,
Device,1,2021/1/18,23:13:43,47,92,85,125,99,102,97,76,97,72,100,144,77,158,197,264,304,408,443,1,0.40,0.55,0.41,0.39,0.14,0.66,
